type,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
merchant payments,16581787,7887394038.066369,Andhra-Pradesh,2019,3,aggregated,transaction,india,2019-Q3,475.66610511076817,-0.17698568898603406
financial services,122270,29778183.027080443,Andhra-Pradesh,2019,3,aggregated,transaction,india,2019-Q3,243.54447556293812,-0.9926262470986993
others,413437,298142027.58625776,Andhra-Pradesh,2019,3,aggregated,transaction,india,2019-Q3,721.1304928834569,2.3813445653062892
peer-to-peer payments,57181511,178893550050.68753,Andhra-Pradesh,2019,4,aggregated,transaction,india,2019-Q4,3128.520861414235,137.30767686491532
merchant payments,25122370,13476303367.50486,Andhra-Pradesh,2019,4,aggregated,transaction,india,2019-Q4,536.4264345881722,-0.5606557161457311
recharge & bill payments,24469888,8335168605.691999,Andhra-Pradesh,2019,4,aggregated,transaction,india,2019-Q4,340.6296181532175,-0.02597215151277532
financial services,105662,26796571.74574916,Andhra-Pradesh,2019,4,aggregated,transaction,india,2019-Q4,253.60651649362268,-0.9956819581683415
others,338672,216496893.1610288,Andhra-Pradesh,2019,4,aggregated,transaction,india,2019-Q4,639.2524128390561,2.205239348110011
peer-to-peer payments,65452143,223088554055.04755,Andhra-Pradesh,2020,1,aggregated,transaction,india,2020-Q1,3408.4224569247112,192.26115828884585
merchant payments,31408022,18603161784.497,Andhra-Pradesh,2020,1,aggregated,transaction,india,2020-Q1,592.3060606776511,-0.5201376064951762
