name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
manipur,189258,383331244.7941229,All,2018,3,map,transaction,india,2018-Q3,2025.4427543042982,110.13211978860834
maharashtra,31538538,52260817733.24835,All,2018,3,map,transaction,india,2018-Q3,1657.0463010444032,165.64309038455443
dadra & nagar haveli & daman & diu,289575,447639595.67817545,All,2018,3,map,transaction,india,2018-Q3,1545.8502829255822,-0.9908183759183764
meghalaya,110290,209853661.53439403,All,2018,3,map,transaction,india,2018-Q3,1902.744233696564,-0.6191314857981525
andaman & nicobar islands,16265,55557471.13431113,All,2018,3,map,transaction,india,2018-Q3,3415.768283695735,-0.8525251609393417
haryana,8262024,16375139007.627964,All,2018,3,map,transaction,india,2018-Q3,1981.9766933172748,506.96335690132184
rajasthan,14257098,24040768671.212967,All,2018,3,map,transaction,india,2018-Q3,1686.231564881785,0.7256180809932289
ladakh,24864,84090977.14484604,All,2018,3,map,transaction,india,2018-Q3,3382.0373690816455,-0.9982560265770776
punjab,3462108,7065687043.821184,All,2018,3,map,transaction,india,2018-Q3,2040.8626893849598,138.24179536679537
assam,2351851,3811134989.9142647,All,2018,3,map,transaction,india,2018-Q3,1620.483181083438,-0.32068814722128836
jharkhand,8122621,8661571417.704563,All,2018,3,map,transaction,india,2018-Q3,1066.351786905306,2.4537141170933023
odisha,30052155,23094515775.58577,All,2018,3,map,transaction,india,2018-Q3,768.4811879742324,2.699810073620325
bihar,14367804,20135804378.90174,All,2018,3,map,transaction,india,2018-Q3,1401.4531642345441,-0.5219043692540518
kerala,3134348,5323025223.875498,All,2018,3,map,transaction,india,2018-Q3,1698.2878812038414,-0.781849195604283
karnataka,25980261,48225091755.80772,All,2018,3,map,transaction,india,2018-Q3,1856.2204496639858,7.288888470584633
chandigarh,616936,1369354447.5343118,All,2018,3,map,transaction,india,2018-Q3,2219.605352150485,-0.9762536642722719
telangana,19332703,32030093209.72354,All,2018,3,map,transaction,india,2018-Q3,1656.7829759616925,30.336642698756435
himachal pradesh,886754,1754041432.858025,All,2018,3,map,transaction,india,2018-Q3,1978.0473872776724,-0.9541319183354754
west bengal,53705416,41843934183.17764,All,2018,3,map,transaction,india,2018-Q3,779.1380702307127,59.5640527136049
gujarat,11334149,17866404426.27552,All,2018,3,map,transaction,india,2018-Q3,1576.3339996920386,-0.7889570578877929
sikkim,108500,235080226.95331776,All,2018,3,map,transaction,india,2018-Q3,2166.6380364361085,-0.9904271595511934
nagaland,94371,241792742.9366532,All,2018,3,map,transaction,india,2018-Q3,2562.1509037379406,-0.13022119815668198
mizoram,39316,116600738.12539022,All,2018,3,map,transaction,india,2018-Q3,2965.732478517403,-0.5833889648302975
chhattisgarh,3859604,6302307073.446348,All,2018,3,map,transaction,india,2018-Q3,1632.8895589926708,97.16878624478584
jammu & kashmir,2303961,3934700999.457677,All,2018,3,map,transaction,india,2018-Q3,1707.7984390611111,-0.4030576712015015
goa,339511,713166969.2382338,All,2018,3,map,transaction,india,2018-Q3,2100.5710249100434,-0.85264030076898
arunachal pradesh,131146,331726406.7413912,All,2018,3,map,transaction,india,2018-Q3,2529.443572365083,-0.6137209103681471
delhi,18547048,27375846860.618515,All,2018,3,map,transaction,india,2018-Q3,1476.0217831224957,140.42290271910696
uttarakhand,2229132,3726573039.858514,All,2018,3,map,transaction,india,2018-Q3,1671.7596983303429,-0.8798120326210402
puducherry,307964,625691665.4234949,All,2018,4,map,transaction,india,2018-Q4,2031.7039180667057,-0.8618457767417991
tamil nadu,22457444,43302073975.890976,All,2018,4,map,transaction,india,2018-Q4,1928.183544658554,71.9223026067982
uttar pradesh,36100767,55096743575.91497,All,2018,4,map,transaction,india,2018-Q4,1526.1931575003648,0.607518958969685
madhya pradesh,21397555,33905608072.964783,All,2018,4,map,transaction,india,2018-Q4,1584.5552481563798,-0.40728253779206414
andhra pradesh,30759548,51473779406.840416,All,2018,4,map,transaction,india,2018-Q4,1673.4244406595446,0.43752629681288346
tripura,448059,624885599.4644469,All,2018,4,map,transaction,india,2018-Q4,1394.6502569180552,-0.9854334985676643
lakshadweep,1642,4463213.698222831,All,2018,4,map,transaction,india,2018-Q4,2718.1569416704206,-0.9963353040559391
manipur,236110,605683559.3060112,All,2018,4,map,transaction,india,2018-Q4,2565.2600876964602,142.79415347137638
maharashtra,46090223,79518937047.82959,All,2018,4,map,transaction,india,2018-Q4,1725.2886159355226,194.2065689720893
dadra & nagar haveli & daman & diu,404082,658750616.8008878,All,2018,4,map,transaction,india,2018-Q4,1630.2399433800265,-0.991232804406262
meghalaya,161132,337585679.00467324,All,2018,4,map,transaction,india,2018-Q4,2095.087747962374,-0.6012393524086695
andaman & nicobar islands,23758,90548336.07445516,All,2018,4,map,transaction,india,2018-Q4,3811.2777201134422,-0.8525556686443413
haryana,12950183,25390876016.455025,All,2018,4,map,transaction,india,2018-Q4,1960.6577000846262,544.0872548194293
rajasthan,20959723,37909087083.33885,All,2018,4,map,transaction,india,2018-Q4,1808.663553585076,0.6184885572659475
ladakh,35211,135522842.49263746,All,2018,4,map,transaction,india,2018-Q4,3848.8779782635384,-0.998320063676414
punjab,4887137,10781982573.649624,All,2018,4,map,transaction,india,2018-Q4,2206.196096743272,137.79574564766693
assam,3734172,5888022859.01307,All,2018,4,map,transaction,india,2018-Q4,1576.7947644117812,-0.23591828917421387
jharkhand,6284043,10241916641.12223,All,2018,4,map,transaction,india,2018-Q4,1629.8291786230984,0.6828477638416228
odisha,21142798,23429869571.55922,All,2018,4,map,transaction,india,2018-Q4,1108.1726066511735,2.3645215349417565
bihar,15732401,28397997168.57623,All,2018,4,map,transaction,india,2018-Q4,1805.0644125188667,-0.2558978712278289
kerala,4310654,7747361236.812299,All,2018,4,map,transaction,india,2018-Q4,1797.2588931545652,-0.7260015175051793
karnataka,44812071,73008386576.05942,All,2018,4,map,transaction,india,2018-Q4,1629.2125078543997,9.39565481247161
chandigarh,905116,2032591591.779975,All,2018,4,map,transaction,india,2018-Q4,2245.669717229587,-0.9798019600567
telangana,28921154,49509088448.04927,All,2018,4,map,transaction,india,2018-Q4,1711.8642101227797,30.952980612429787
himachal pradesh,1307883,2621298968.1392584,All,2018,4,map,transaction,india,2018-Q4,2004.2304763799655,-0.9547776343917673
west bengal,36513548,40489619211.70402,All,2018,4,map,transaction,india,2018-Q4,1108.8930391454705,26.918053832032378
gujarat,14733303,24830987102.78186,All,2018,4,map,transaction,india,2018-Q4,1685.3645854416936,-0.5964976342479783
sikkim,154533,383141358.07825375,All,2018,4,map,transaction,india,2018-Q4,2479.3497704584374,-0.9895113132472739
nagaland,139333,388013467.5456239,All,2018,4,map,transaction,india,2018-Q4,2784.7923144238903,-0.09836086790523701
mizoram,55242,190426852.5295296,All,2018,4,map,transaction,india,2018-Q4,3447.1389980364506,-0.6035253672855676
chhattisgarh,5365844,9416412664.971258,All,2018,4,map,transaction,india,2018-Q4,1754.8800645287597,96.13341298287534
jammu & kashmir,2721310,5664720265.697432,All,2018,4,map,transaction,india,2018-Q4,2081.615202125973,-0.49284585984982043
goa,514755,1153005078.9224055,All,2018,4,map,transaction,india,2018-Q4,2239.9104018851795,-0.810842939613642
arunachal pradesh,176429,504040029.0917605,All,2018,4,map,transaction,india,2018-Q4,2856.9001076453446,-0.6572563646783421
delhi,29187719,39722857618.70644,All,2018,4,map,transaction,india,2018-Q4,1360.9442251621801,164.43606209863458
uttarakhand,3178761,5654272137.963844,All,2018,4,map,transaction,india,2018-Q4,1778.7660468855142,-0.8910925173700623
puducherry,501092,906473024.3065232,All,2019,1,map,transaction,india,2019-Q1,1808.995203089499,-0.8423624802242131
tamil nadu,32275045,56204036816.12856,All,2019,1,map,transaction,india,2019-Q1,1741.408472587058,63.40941982709762
uttar pradesh,57324504,76524180134.0167,All,2019,1,map,transaction,india,2019-Q1,1334.929651271238,0.7761246808486246
madhya pradesh,37301049,48070279522.04201,All,2019,1,map,transaction,india,2019-Q1,1288.7111974261638,-0.3493001003549896
andhra pradesh,57264522,83760595917.0792,All,2019,1,map,transaction,india,2019-Q1,1462.6961509794703,0.5351987017844995
tripura,580926,756894941.6158216,All,2019,1,map,transaction,india,2019-Q1,1302.911113663051,-0.9898553942351951
lakshadweep,2481,8786130.479338994,All,2019,1,map,transaction,india,2019-Q1,3541.3665777263177,-0.9957292322946468
manipur,265409,659898060.4240801,All,2019,1,map,transaction,india,2019-Q1,2486.343946226692,105.97662232970576
maharashtra,75079069,111420690920.33997,All,2019,1,map,transaction,india,2019-Q1,1484.0446532486967,281.88064459004784
dadra & nagar haveli & daman & diu,661814,843369776.0499002,All,2019,1,map,transaction,india,2019-Q1,1274.330515900087,-0.9911851064642264
meghalaya,208741,399037162.153436,All,2019,1,map,transaction,india,2019-Q1,1911.6376857130895,-0.684592649898612
andaman & nicobar islands,30486,102299740.67348988,All,2019,1,map,transaction,india,2019-Q1,3355.630147395194,-0.8539529847993447
haryana,22135775,34051655721.63108,All,2019,1,map,transaction,india,2019-Q1,1538.3087206854552,725.0964049071705
rajasthan,43956040,61141158575.55252,All,2019,1,map,transaction,india,2019-Q1,1390.9614827803532,0.9857466025020583
ladakh,46145,152859920.9491272,All,2019,1,map,transaction,india,2019-Q1,3312.599868872623,-0.9989502011555181
punjab,7172137,13574490001.853222,All,2019,1,map,transaction,india,2019-Q1,1892.6702044109338,154.4260916675696
assam,4533005,8002099536.451059,All,2019,1,map,transaction,india,2019-Q1,1765.2968696154228,-0.3679701043078235
jharkhand,9387708,13627236449.278034,All,2019,1,map,transaction,india,2019-Q1,1451.6042093850847,1.0709679340746372
odisha,34031942,35427127930.698456,All,2019,1,map,transaction,india,2019-Q1,1040.9963654351097,2.6251598366715285
bihar,26356234,41502827514.52612,All,2019,1,map,transaction,india,2019-Q1,1574.6873212055305,-0.22554422548087327
kerala,6469039,10235031134.849785,All,2019,1,map,transaction,india,2019-Q1,1582.1563504022445,-0.7545537423897511
karnataka,86587609,117976382145.74966,All,2019,1,map,transaction,india,2019-Q1,1362.5088336340325,12.38492610726261
chandigarh,1274476,2396032050.444029,All,2019,1,map,transaction,india,2019-Q1,1880.0134725518792,-0.9852810810378192
telangana,65290702,95523262035.6632,All,2019,1,map,transaction,india,2019-Q1,1463.045412433507,50.229448024129134
himachal pradesh,2168718,3381481442.991081,All,2019,1,map,transaction,india,2019-Q1,1559.2075332021411,-0.9667836623965231
west bengal,47626388,50164672623.87851,All,2019,1,map,transaction,india,2019-Q1,1053.2957616663793,20.960618208545323
gujarat,24991451,35856080308.47724,All,2019,1,map,transaction,india,2019-Q1,1434.7338339209373,-0.47526041655730855
sikkim,240287,457993634.3840939,All,2019,1,map,transaction,india,2019-Q1,1906.0275186926212,-0.9903852321339806
nagaland,168579,441941712.41233104,All,2019,1,map,transaction,india,2019-Q1,2621.5703759799917,-0.2984264650189149
mizoram,70306,218160895.39740247,All,2019,1,map,transaction,india,2019-Q1,3103.019591463068,-0.5829492404154728
chhattisgarh,7887669,12544556385.328796,All,2019,1,map,transaction,india,2019-Q1,1590.400964509134,111.19055272665206
jammu & kashmir,3584987,5951835476.521047,All,2019,1,map,transaction,india,2019-Q1,1660.211174132862,-0.5454947462932331
goa,738812,1475323397.276577,All,2019,1,map,transaction,india,2019-Q1,1996.886078294041,-0.7939150128019989
arunachal pradesh,226506,609950106.3139492,All,2019,1,map,transaction,india,2019-Q1,2692.865117541916,-0.6934186234116393
delhi,47007327,58469131789.49733,All,2019,1,map,transaction,india,2019-Q1,1243.830175442593,206.53237000344362
uttarakhand,5546001,7183529175.274033,All,2019,1,map,transaction,india,2019-Q1,1295.2628705393367,-0.8820183713062434
puducherry,580077,1211446910.127807,All,2019,2,map,transaction,india,2019-Q2,2088.4243128546846,-0.8954062575899283
tamil nadu,32171737,64207676025.75553,All,2019,2,map,transaction,india,2019-Q2,1995.7789666674053,54.46114912330604
uttar pradesh,58883500,98917519370.67831,All,2019,2,map,transaction,india,2019-Q2,1679.8851863540433,0.830286627047834
madhya pradesh,40846013,68334566380.56182,All,2019,2,map,transaction,india,2019-Q2,1672.9800869563896,-0.3063249806821945
andhra pradesh,56409015,113634518758.22932,All,2019,2,map,transaction,india,2019-Q2,2014.4744374321963,0.3810164287026008
tripura,532558,841821482.8473747,All,2019,2,map,transaction,india,2019-Q2,1580.7132422146972,-0.9905589913243477
lakshadweep,2926,9242524.13698889,All,2019,2,map,transaction,india,2019-Q2,3158.7573947330447,-0.9945057627526016
manipur,257425,722789942.1495004,All,2019,2,map,transaction,india,2019-Q2,2807.769028452949,86.97846889952153
