name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
500072,803,638626.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,795.3001245330013,-0.003722084367245637
560043,800,743863.0,All,2021,3,top,insurance,pincodes,india,2021-Q3,929.82875,-0.0037359900373599153
maharashtra,82423,59699082.30149983,All,2021,4,top,insurance,states,india,2021-Q4,724.7393291920919,102.02875
karnataka,74436,59699082.30149983,All,2021,4,top,insurance,states,india,2021-Q4,802.5040266806355,-0.09690256360481908
uttar pradesh,44132,59654951.0,All,2021,4,top,insurance,states,india,2021-Q4,1351.7391235384755,-0.407114836906873
telangana,34848,38845492.0,All,2021,4,top,insurance,states,india,2021-Q4,1114.7122359963269,-0.21036889332003983
delhi,34251,36578331.0,All,2021,4,top,insurance,states,india,2021-Q4,1067.9492861522292,-0.0171315426997245
tamil nadu,33037,42184290.0,All,2021,4,top,insurance,states,india,2021-Q4,1276.8801646638617,-0.03544422060669761
west bengal,26320,31282871.0,All,2021,4,top,insurance,states,india,2021-Q4,1188.5589285714286,-0.2033174925083997
andhra pradesh,25423,31610335.0,All,2021,4,top,insurance,states,india,2021-Q4,1243.3754867639539,-0.034080547112462
bihar,22456,27313813.0,All,2021,4,top,insurance,states,india,2021-Q4,1216.3258371927325,-0.11670534555323919
haryana,19489,25885838.0,All,2021,4,top,insurance,states,india,2021-Q4,1328.228128687978,-0.1321250445315283
bengaluru urban,44650,50064816.0,All,2021,4,top,insurance,districts,india,2021-Q4,1121.2724748040314,1.2910359690081585
pune,16039,18693479.0,All,2021,4,top,insurance,districts,india,2021-Q4,1165.5015275266537,-0.6407838745800671
thane,13362,13856390.0,All,2021,4,top,insurance,districts,india,2021-Q4,1036.9997006436163,-0.16690566743562563
mumbai suburban,9319,9168680.0,All,2021,4,top,insurance,districts,india,2021-Q4,983.8695138963408,-0.302574464900464
hyderabad,7016,7001072.0,All,2021,4,top,insurance,districts,india,2021-Q4,997.872291904219,-0.24712952033479985
