name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
puducherry,372,351827.0,All,2021,1,map,insurance,india,2021-Q1,945.7715053763441,-0.7881548974943052
tamil nadu,14406,11180849.0,All,2021,1,map,insurance,india,2021-Q1,776.1244620297099,37.725806451612904
uttar pradesh,24103,18027573.0,All,2021,1,map,insurance,india,2021-Q1,747.9389702526656,0.6731223101485493
madhya pradesh,14427,5567927.0,All,2021,1,map,insurance,india,2021-Q1,385.9379635405836,-0.40144380367589094
andhra pradesh,22105,12749874.0,All,2021,1,map,insurance,india,2021-Q1,576.7868807962,0.532196575864698
tripura,360,191531.0,All,2021,1,map,insurance,india,2021-Q1,532.0305555555556,-0.9837140918344266
lakshadweep,4,5225.0,All,2021,1,map,insurance,india,2021-Q1,1306.25,-0.9888888888888889
manipur,136,72254.0,All,2021,1,map,insurance,india,2021-Q1,531.2794117647059,33.0
maharashtra,55792,33137753.0,All,2021,1,map,insurance,india,2021-Q1,593.9516955835962,409.2352941176471
dadra & nagar haveli & daman & diu,467,285691.0,All,2021,1,map,insurance,india,2021-Q1,611.7580299785867,-0.9916296243188988
meghalaya,107,128776.0,All,2021,1,map,insurance,india,2021-Q1,1203.5140186915887,-0.7708779443254818
andaman & nicobar islands,225,244266.0,All,2021,1,map,insurance,india,2021-Q1,1085.6266666666668,1.102803738317757
haryana,11038,7297880.0,All,2021,1,map,insurance,india,2021-Q1,661.1596303678202,48.05777777777778
rajasthan,17800,8074225.0,All,2021,1,map,insurance,india,2021-Q1,453.6081460674157,0.6126109802500452
ladakh,32,34530.0,All,2021,1,map,insurance,india,2021-Q1,1079.0625,-0.9982022471910112
punjab,3783,2558380.0,All,2021,1,map,insurance,india,2021-Q1,676.283372984404,117.21875
assam,3167,2334419.0,All,2021,1,map,insurance,india,2021-Q1,737.1073571203032,-0.1628337298440391
jharkhand,4879,3274851.0,All,2021,1,map,insurance,india,2021-Q1,671.2135683541709,0.540574676349858
odisha,8236,4383330.0,All,2021,1,map,insurance,india,2021-Q1,532.2158814958718,0.6880508300881327
bihar,12554,8796619.0,All,2021,1,map,insurance,india,2021-Q1,700.702485263661,0.5242836328314715
kerala,5731,5040506.0,All,2021,1,map,insurance,india,2021-Q1,879.5159658000349,-0.5434921140672295
karnataka,37595,30183325.0,All,2021,1,map,insurance,india,2021-Q1,802.8547679212661,5.559937183737568
chandigarh,338,238576.0,All,2021,1,map,insurance,india,2021-Q1,705.8461538461538,-0.9910094427450459
telangana,28298,14810947.0,All,2021,1,map,insurance,india,2021-Q1,523.3920065022263,82.72189349112426
himachal pradesh,1064,906492.0,All,2021,1,map,insurance,india,2021-Q1,851.9661654135339,-0.9624001696232949
west bengal,15488,11172042.0,All,2021,1,map,insurance,india,2021-Q1,721.3353564049587,13.556390977443609
gujarat,12673,7288104.0,All,2021,1,map,insurance,india,2021-Q1,575.0890870354297,-0.1817536157024794
sikkim,122,111777.0,All,2021,1,map,insurance,india,2021-Q1,916.2049180327868,-0.9903732344354139
nagaland,79,42973.0,All,2021,1,map,insurance,india,2021-Q1,543.9620253164557,-0.35245901639344257
mizoram,415,302841.0,All,2021,1,map,insurance,india,2021-Q1,729.7373493975904,4.253164556962025
chhattisgarh,4712,2620468.0,All,2021,1,map,insurance,india,2021-Q1,556.1264855687606,10.35421686746988
jammu & kashmir,1105,1546288.0,All,2021,1,map,insurance,india,2021-Q1,1399.3556561085973,-0.7654923599320883
goa,879,827384.0,All,2021,1,map,insurance,india,2021-Q1,941.2787258248009,-0.2045248868778281
arunachal pradesh,194,131611.0,All,2021,1,map,insurance,india,2021-Q1,678.4072164948453,-0.7792946530147895
delhi,12822,9655261.0,All,2021,1,map,insurance,india,2021-Q1,753.0230073311496,65.09278350515464
uttarakhand,2607,2719327.0,All,2021,1,map,insurance,india,2021-Q1,1043.0866896816265,-0.7966775854000936
puducherry,526,508277.0,All,2021,2,map,insurance,india,2021-Q2,966.3060836501901,-0.7982355197545071
tamil nadu,17682,16444344.0,All,2021,2,map,insurance,india,2021-Q2,930.0047505938243,32.61596958174905
uttar pradesh,25952,25137571.0,All,2021,2,map,insurance,india,2021-Q2,968.6178714549939,0.46770727293292613
madhya pradesh,14803,9787391.0,All,2021,2,map,insurance,india,2021-Q2,661.1761805039519,-0.42960080147965474
andhra pradesh,33205,22730687.0,All,2021,2,map,insurance,india,2021-Q2,684.5561511820509,1.2431263932986556
tripura,381,409934.0,All,2021,2,map,insurance,india,2021-Q2,1075.9422572178478,-0.9885258244240325
lakshadweep,5,6962.0,All,2021,2,map,insurance,india,2021-Q2,1392.4,-0.9868766404199475
manipur,127,81332.0,All,2021,2,map,insurance,india,2021-Q2,640.4094488188977,24.4
maharashtra,70381,46763103.0,All,2021,2,map,insurance,india,2021-Q2,664.4279422003098,553.1811023622047
dadra & nagar haveli & daman & diu,368,275638.0,All,2021,2,map,insurance,india,2021-Q2,749.0163043478261,-0.9947713161222489
meghalaya,139,148434.0,All,2021,2,map,insurance,india,2021-Q2,1067.8705035971223,-0.6222826086956521
andaman & nicobar islands,137,181504.0,All,2021,2,map,insurance,india,2021-Q2,1324.846715328467,-0.014388489208633115
haryana,12516,11272453.0,All,2021,2,map,insurance,india,2021-Q2,900.6434164269734,90.35766423357664
rajasthan,18281,14357445.0,All,2021,2,map,insurance,india,2021-Q2,785.3752529949128,0.46061041866411
ladakh,46,86251.0,All,2021,2,map,insurance,india,2021-Q2,1875.0217391304348,-0.9974837262731798
punjab,4047,3768919.0,All,2021,2,map,insurance,india,2021-Q2,931.2871262663701,86.97826086956522
assam,3265,3008122.0,All,2021,2,map,insurance,india,2021-Q2,921.3237366003062,-0.1932295527551272
jharkhand,5180,5084230.0,All,2021,2,map,insurance,india,2021-Q2,981.511583011583,0.5865237366003062
odisha,7942,5832924.0,All,2021,2,map,insurance,india,2021-Q2,734.4401913875598,0.5332046332046332
bihar,14301,13301581.0,All,2021,2,map,insurance,india,2021-Q2,930.1154464722747,0.8006799294887939
kerala,9530,9676588.0,All,2021,2,map,insurance,india,2021-Q2,1015.381741867786,-0.3336130340535627
karnataka,40969,39501006.0,All,2021,2,map,insurance,india,2021-Q2,964.1681759379043,3.298950682056663
chandigarh,378,310943.0,All,2021,2,map,insurance,india,2021-Q2,822.6005291005291,-0.9907735116795626
telangana,28870,20935651.0,All,2021,2,map,insurance,india,2021-Q2,725.1697609975753,75.37566137566138
himachal pradesh,1210,1402338.0,All,2021,2,map,insurance,india,2021-Q2,1158.9570247933884,-0.9580879806027017
west bengal,15200,12396029.0,All,2021,2,map,insurance,india,2021-Q2,815.5282236842105,11.561983471074381
gujarat,14676,10263998.0,All,2021,2,map,insurance,india,2021-Q2,699.3729899155084,-0.03447368421052632
sikkim,93,122064.0,All,2021,2,map,insurance,india,2021-Q2,1312.516129032258,-0.9936631234668847
nagaland,85,139479.0,All,2021,2,map,insurance,india,2021-Q2,1640.929411764706,-0.08602150537634412
mizoram,187,124805.0,All,2021,2,map,insurance,india,2021-Q2,667.4064171122994,1.2000000000000002
chhattisgarh,5055,3813417.0,All,2021,2,map,insurance,india,2021-Q2,754.3851632047478,26.032085561497325
jammu & kashmir,1197,1832089.0,All,2021,2,map,insurance,india,2021-Q2,1530.5672514619882,-0.7632047477744808
goa,1016,1028339.0,All,2021,2,map,insurance,india,2021-Q2,1012.1446850393701,-0.15121136173767757
arunachal pradesh,204,224928.0,All,2021,2,map,insurance,india,2021-Q2,1102.5882352941176,-0.7992125984251969
delhi,13292,10840929.0,All,2021,2,map,insurance,india,2021-Q2,815.5980288895577,64.15686274509804
uttarakhand,2742,3265717.0,All,2021,2,map,insurance,india,2021-Q2,1190.9981765134937,-0.7937105025579296
puducherry,561,556442.0,All,2021,3,map,insurance,india,2021-Q3,991.8752228163993,-0.7954048140043763
tamil nadu,23107,23402918.0,All,2021,3,map,insurance,india,2021-Q3,1012.8064222962738,40.188948306595364
uttar pradesh,32799,32641118.0,All,2021,3,map,insurance,india,2021-Q3,995.1863776334644,0.4194399965378457
madhya pradesh,11990,7806258.0,All,2021,3,map,insurance,india,2021-Q3,651.0640533778148,-0.634440074392512
andhra pradesh,23075,19914338.0,All,2021,3,map,insurance,india,2021-Q3,863.0265655471289,0.9245204336947457
tripura,494,649961.0,All,2021,3,map,insurance,india,2021-Q3,1315.7105263157894,-0.9785915492957746
lakshadweep,19,16034.0,All,2021,3,map,insurance,india,2021-Q3,843.8947368421053,-0.9615384615384616
manipur,111,133016.0,All,2021,3,map,insurance,india,2021-Q3,1198.3423423423424,4.842105263157895
maharashtra,52268,41313307.0,All,2021,3,map,insurance,india,2021-Q3,790.4130060457642,469.8828828828829
dadra & nagar haveli & daman & diu,360,273596.0,All,2021,3,map,insurance,india,2021-Q3,759.9888888888889,-0.9931124206015153
meghalaya,139,214554.0,All,2021,3,map,insurance,india,2021-Q3,1543.5539568345323,-0.6138888888888889
andaman & nicobar islands,230,305235.0,All,2021,3,map,insurance,india,2021-Q3,1327.108695652174,0.6546762589928057
haryana,14163,13215898.0,All,2021,3,map,insurance,india,2021-Q3,933.1284332415448,60.57826086956522
rajasthan,16643,12793862.0,All,2021,3,map,insurance,india,2021-Q3,768.7233070960764,0.17510414460213242
ladakh,192,174052.0,All,2021,3,map,insurance,india,2021-Q3,906.5208333333334,-0.98846361833804
punjab,4887,5271559.0,All,2021,3,map,insurance,india,2021-Q3,1078.6901984857786,24.453125
assam,4495,6010865.0,All,2021,3,map,insurance,india,2021-Q3,1337.233592880979,-0.08021280949457743
jharkhand,6794,7046048.0,All,2021,3,map,insurance,india,2021-Q3,1037.0986164262586,0.5114571746384873
odisha,7967,6008686.0,All,2021,3,map,insurance,india,2021-Q3,754.1968118488766,0.17265234030026488
bihar,18030,18234941.0,All,2021,3,map,insurance,india,2021-Q3,1011.3666666666667,1.263085226559558
kerala,10926,13255646.0,All,2021,3,map,insurance,india,2021-Q3,1213.2203917261577,-0.39400998336106485
karnataka,47468,48078366.0,All,2021,3,map,insurance,india,2021-Q3,1012.858473076599,3.3444993593263774
chandigarh,494,469634.0,All,2021,3,map,insurance,india,2021-Q3,950.6761133603239,-0.9895929889609842
telangana,27080,20925217.0,All,2021,3,map,insurance,india,2021-Q3,772.7185007385524,53.81781376518219
himachal pradesh,1759,2444545.0,All,2021,3,map,insurance,india,2021-Q3,1389.7356452529846,-0.9350443131462334
west bengal,24839,21424337.0,All,2021,3,map,insurance,india,2021-Q3,862.5281613591529,13.121091529277999
gujarat,15348,12341903.0,All,2021,3,map,insurance,india,2021-Q3,804.1375423507949,-0.38210072869278155
sikkim,106,140552.0,All,2021,3,map,insurance,india,2021-Q3,1325.9622641509434,-0.9930935626791765
nagaland,91,123643.0,All,2021,3,map,insurance,india,2021-Q3,1358.7142857142858,-0.14150943396226412
mizoram,81,83641.0,All,2021,3,map,insurance,india,2021-Q3,1032.6049382716049,-0.10989010989010994
chhattisgarh,4676,3568837.0,All,2021,3,map,insurance,india,2021-Q3,763.2243370402053,56.72839506172839
jammu & kashmir,1452,2139133.0,All,2021,3,map,insurance,india,2021-Q3,1473.2320936639119,-0.6894781864841746
goa,1214,1385986.0,All,2021,3,map,insurance,india,2021-Q3,1141.668863261944,-0.1639118457300276
arunachal pradesh,212,371051.0,All,2021,3,map,insurance,india,2021-Q3,1750.2405660377358,-0.8253706754530478
delhi,16679,15007079.0,All,2021,3,map,insurance,india,2021-Q3,899.7589184003837,77.6745283018868
uttarakhand,4111,4646571.0,All,2021,3,map,insurance,india,2021-Q3,1130.277548041839,-0.7535223934288626
puducherry,786,946607.0,All,2021,4,map,insurance,india,2021-Q4,1204.3346055979644,-0.8088056433957674
tamil nadu,33037,42184290.0,All,2021,4,map,insurance,india,2021-Q4,1276.8801646638617,41.031806615776084
uttar pradesh,44132,55084362.288549274,All,2021,4,map,insurance,india,2021-Q4,1252.1753306965563,0.33583557829100696
madhya pradesh,15069,17524432.0,All,2021,4,map,insurance,india,2021-Q4,1162.9459154555711,-0.6585470860146831
andhra pradesh,25423,31610335.0,All,2021,4,map,insurance,india,2021-Q4,1243.3754867639539,0.6871059791625191
tripura,702,1022508.0,All,2021,4,map,insurance,india,2021-Q4,1456.5641025641025,-0.9723872084333084
lakshadweep,11,17096.0,All,2021,4,map,insurance,india,2021-Q4,1554.1818181818182,-0.9843304843304843
manipur,145,271789.0,All,2021,4,map,insurance,india,2021-Q4,1874.4068965517242,12.181818181818182
maharashtra,82423,55084362.288549274,All,2021,4,map,insurance,india,2021-Q4,670.4560825776837,567.4344827586207
