name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
jammu & kashmir,342529,0.0,All,2018,3,india,2018-Q3,0.0,-0.7187294710426739
goa,153802,0.0,All,2018,3,india,2018-Q3,0.0,-0.5509810848132567
arunachal pradesh,45922,0.0,All,2018,3,india,2018-Q3,0.0,-0.7014213079153717
delhi,3504911,0.0,All,2018,3,india,2018-Q3,0.0,75.32313488088498
uttarakhand,810612,0.0,All,2018,3,india,2018-Q3,0.0,-0.7687210887808563
puducherry,109494,0.0,All,2018,4,india,2018-Q4,0.0,-0.8649242794333171
tamil nadu,5199878,0.0,All,2018,4,india,2018-Q4,0.0,46.490072515388974
uttar pradesh,10341964,0.0,All,2018,4,india,2018-Q4,0.0,0.9888858930921072
madhya pradesh,5365442,0.0,All,2018,4,india,2018-Q4,0.0,-0.4811969950775308
andhra pradesh,6857409,0.0,All,2018,4,india,2018-Q4,0.0,0.2780697284585314
tripura,153265,0.0,All,2018,4,india,2018-Q4,0.0,-0.9776497216368456
lakshadweep,1156,0.0,All,2018,4,india,2018-Q4,0.0,-0.9924575082373667
manipur,82589,0.0,All,2018,4,india,2018-Q4,0.0,70.44377162629758
maharashtra,13381602,0.0,All,2018,4,india,2018-Q4,0.0,161.02644419959074
dadra & nagar haveli & daman & diu,116511,0.0,All,2018,4,india,2018-Q4,0.0,-0.9912931949403367
meghalaya,49634,0.0,All,2018,4,india,2018-Q4,0.0,-0.5739973049754958
andaman & nicobar islands,15222,0.0,All,2018,4,india,2018-Q4,0.0,-0.6933150662852077
haryana,3793079,0.0,All,2018,4,india,2018-Q4,0.0,248.18400998554722
rajasthan,6358738,0.0,All,2018,4,india,2018-Q4,0.0,0.6764053688309681
ladakh,23883,0.0,All,2018,4,india,2018-Q4,0.0,-0.9962440660395192
punjab,1865715,0.0,All,2018,4,india,2018-Q4,0.0,77.11895490516267
assam,1039221,0.0,All,2018,4,india,2018-Q4,0.0,-0.442990488901038
jharkhand,1913949,0.0,All,2018,4,india,2018-Q4,0.0,0.8417150923624523
odisha,3623911,0.0,All,2018,4,india,2018-Q4,0.0,0.8934208800756969
bihar,4776665,0.0,All,2018,4,india,2018-Q4,0.0,0.31809666407370374
kerala,1757326,0.0,All,2018,4,india,2018-Q4,0.0,-0.6321018953600472
karnataka,8315802,0.0,All,2018,4,india,2018-Q4,0.0,3.732077030670462
chandigarh,177747,0.0,All,2018,4,india,2018-Q4,0.0,-0.9786253929566866
telangana,6529679,0.0,All,2018,4,india,2018-Q4,0.0,35.735804261112705
