name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
hyderabad,5786941,9503554478.108149,All,2018,3,top,transaction,districts,india,2018-Q3,1642.2414671426836,-0.017053873028970767
khordha,5333443,4389717266.977921,All,2018,3,top,transaction,districts,india,2018-Q3,823.0550634886171,-0.07836575489537567
bankura,5179457,2464193070.534754,All,2018,3,top,transaction,districts,india,2018-Q3,475.7628204143318,-0.02887178132399648
jaipur,4954443,7882149494.55468,All,2018,3,top,transaction,districts,india,2018-Q3,1590.9254571209478,-0.0434435501636562
north twenty four parganas,4856114,4545902671.152222,All,2018,3,top,transaction,districts,india,2018-Q3,936.1194303000757,-0.019846630589957392
110006,7198882,9029499185.157822,All,2018,3,top,transaction,pincodes,india,2018-Q3,1254.2918727043757,0.4824367796966875
560001,5764203,10161197002.295376,All,2018,3,top,transaction,pincodes,india,2018-Q3,1762.810401072859,-0.19929191782835165
600003,4430587,7070098756.153783,All,2018,3,top,transaction,pincodes,india,2018-Q3,1595.747641600037,-0.23136173379043035
400008,3111609,5436005565.19679,All,2018,3,top,transaction,pincodes,india,2018-Q3,1747.0079194387179,-0.29769825081868384
731101,2644866,4429377129.783087,All,2018,3,top,transaction,pincodes,india,2018-Q3,1674.7075767857755,-0.15000053027228033
700009,2531420,3555553312.576761,All,2018,3,top,transaction,pincodes,india,2018-Q3,1404.568705539484,-0.04289291026464104
500012,1726388,3077635699.337487,All,2018,3,top,transaction,pincodes,india,2018-Q3,1782.7022079263104,-0.3180159752233924
411001,1689517,2829639683.406772,All,2018,3,top,transaction,pincodes,india,2018-Q3,1674.8216699842453,-0.021357307858951735
221001,1439623,671779876.5266988,All,2018,3,top,transaction,pincodes,india,2018-Q3,466.6359710331794,-0.14790854427626354
201301,1438458,2181626866.4046803,All,2018,3,top,transaction,pincodes,india,2018-Q3,1516.6427288142443,-0.000809239641211601
maharashtra,46090223,79518937047.82959,All,2018,4,top,transaction,states,india,2018-Q4,1725.2886159355226,31.041410315768694
karnataka,44812071,73008386576.05942,All,2018,4,top,transaction,states,india,2018-Q4,1629.2125078543997,-0.02773152128163925
west bengal,36513548,40489619211.70402,All,2018,4,top,transaction,states,india,2018-Q4,1108.8930391454705,-0.18518499178491443
uttar pradesh,36100767,55096743575.91497,All,2018,4,top,transaction,states,india,2018-Q4,1526.1931575003648,-0.011304872372304153
andhra pradesh,30759548,51473779406.84041,All,2018,4,top,transaction,states,india,2018-Q4,1673.4244406595444,-0.1479530614958956
delhi,29187719,39722857618.70644,All,2018,4,top,transaction,states,india,2018-Q4,1360.9442251621801,-0.051100523323684754
telangana,28921154,49509088448.04927,All,2018,4,top,transaction,states,india,2018-Q4,1711.8642101227797,-0.00913277944055857
tamil nadu,22457444,43302073975.890976,All,2018,4,top,transaction,states,india,2018-Q4,1928.183544658554,-0.22349419390388092
madhya pradesh,21397555,33905608072.964783,All,2018,4,top,transaction,states,india,2018-Q4,1584.5552481563798,-0.04719544218834526
odisha,21142798,23429869571.55922,All,2018,4,top,transaction,states,india,2018-Q4,1108.1726066511735,-0.011905892986371569
bengaluru urban,33061353,50279165003.07312,All,2018,4,top,transaction,districts,india,2018-Q4,1520.783647392565,0.5637170160732747
pune,11075153,18048884123.01989,All,2018,4,top,transaction,districts,india,2018-Q4,1629.6735695678326,-0.6650121064313369
central delhi,9373395,13878492766.290386,All,2018,4,top,transaction,districts,india,2018-Q4,1480.6260449165309,-0.15365548448856647
hyderabad,9360515,14727846731.548256,All,2018,4,top,transaction,districts,india,2018-Q4,1573.4013279769601,-0.0013741019129142051
chennai,8007699,14632395110.56675,All,2018,4,top,transaction,districts,india,2018-Q4,1827.2908497892777,-0.14452367204154903
jaipur,7271209,12107341570.492037,All,2018,4,top,transaction,districts,india,2018-Q4,1665.1070778589965,-0.09197273773652082
gautam buddha nagar,6083056,7483532543.63562,All,2018,4,top,transaction,districts,india,2018-Q4,1230.2258180157507,-0.16340515036770364
mumbai,6060284,11506143747.453333,All,2018,4,top,transaction,districts,india,2018-Q4,1898.6146107102131,-0.0037435131289272894
rangareddy,5803319,9396311751.227482,All,2018,4,top,transaction,districts,india,2018-Q4,1619.1272186187734,-0.04240147821455231
kolkata,5401244,8502095208.881001,All,2018,4,top,transaction,districts,india,2018-Q4,1574.0994498454434,-0.06928362890270201
560001,7725284,14030425393.295612,All,2018,4,top,transaction,pincodes,india,2018-Q4,1816.1695276569267,0.4302786543248185
110006,7532374,11605568511.039162,All,2018,4,top,transaction,pincodes,india,2018-Q4,1540.7583998138118,-0.024971250247887378
600003,5539392,10066365923.24963,All,2018,4,top,transaction,pincodes,india,2018-Q4,1817.2329965544286,-0.2645888268426395
400008,4586309,8474903607.1238575,All,2018,4,top,transaction,pincodes,india,2018-Q4,1847.8701734060783,-0.17205552522731737
731101,3284268,5847016363.011223,All,2018,4,top,transaction,pincodes,india,2018-Q4,1780.3103653572798,-0.2838973562400614
700009,2939284,4991163446.523161,All,2018,4,top,transaction,pincodes,india,2018-Q4,1698.088189682644,-0.10504136690428434
500012,2576408,4841883809.168822,All,2018,4,top,transaction,pincodes,india,2018-Q4,1879.3156243765825,-0.12345727735053846
201301,2504916,3217987818.841588,All,2018,4,top,transaction,pincodes,india,2018-Q4,1284.6689545044976,-0.027748710607947147
411001,2176631,3917444399.4306126,All,2018,4,top,transaction,pincodes,india,2018-Q4,1799.7742379992808,-0.1310562909095554
560068,1630650,1941175277.185885,All,2018,4,top,transaction,pincodes,india,2018-Q4,1190.4303665322939,-0.25083764772255834
karnataka,86587609,117976382145.74966,All,2019,1,top,transaction,states,india,2019-Q1,1362.5088336340325,52.1000576457241
maharashtra,75079069,111420690920.33997,All,2019,1,top,transaction,states,india,2019-Q1,1484.0446532486967,-0.13291208907269858
telangana,65290702,95523262035.6632,All,2019,1,top,transaction,states,india,2019-Q1,1463.045412433507,-0.13037411265715082
uttar pradesh,57324504,76524180134.0167,All,2019,1,top,transaction,states,india,2019-Q1,1334.929651271238,-0.12201121684983562
andhra pradesh,57264522,83760595917.0792,All,2019,1,top,transaction,states,india,2019-Q1,1462.6961509794703,-0.001046358813675874
west bengal,47626388,50164672623.8785,All,2019,1,top,transaction,states,india,2019-Q1,1053.2957616663791,-0.16830899243339537
delhi,47007327,58469131789.49733,All,2019,1,top,transaction,states,india,2019-Q1,1243.830175442593,-0.012998277341544351
rajasthan,43956040,61141158575.55252,All,2019,1,top,transaction,states,india,2019-Q1,1390.9614827803532,-0.06491088080800678
madhya pradesh,37301049,48070279522.042015,All,2019,1,top,transaction,states,india,2019-Q1,1288.7111974261638,-0.15140105887609534
odisha,34031942,35427127930.698456,All,2019,1,top,transaction,states,india,2019-Q1,1040.9963654351097,-0.08764115454232935
bengaluru urban,65174133,82111161572.76288,All,2019,1,top,transaction,districts,india,2019-Q1,1259.8734773006167,0.9150870967046194
hyderabad,24838664,34892156029.40753,All,2019,1,top,transaction,districts,india,2019-Q1,1404.7517221299636,-0.6188876958286502
pune,23360634,32233517413.82532,All,2019,1,top,transaction,districts,india,2019-Q1,1379.8220293946356,-0.05950521332387282
jaipur,19178441,25043540802.37277,All,2019,1,top,transaction,districts,india,2019-Q1,1305.8173394997418,-0.1790273757124914
rangareddy,12952050,17677048557.63253,All,2019,1,top,transaction,districts,india,2019-Q1,1364.8070041138299,-0.32465574235152894
central delhi,12885975,16258175800.83931,All,2019,1,top,transaction,districts,india,2019-Q1,1261.6954325023376,-0.0051015090275284836
chennai,11642449,18810971714.51368,All,2019,1,top,transaction,districts,india,2019-Q1,1615.7229217421248,-0.09650228252033699
gautam buddha nagar,10750094,10286434896.5461,All,2019,1,top,transaction,districts,india,2019-Q1,956.8692977518243,-0.07664667459569718
medchal malkajgiri,10127087,13392043971.07524,All,2019,1,top,transaction,districts,india,2019-Q1,1322.3984321528233,-0.05795363277753662
new delhi,10000765,13939472234.96883,All,2019,1,top,transaction,districts,india,2019-Q1,1393.840594691389,-0.012473675796406236
560001,16241340,23597361226.512825,All,2019,1,top,transaction,pincodes,india,2019-Q1,1452.9196006310333,0.6240097632531112
110006,10251048,13201959766.05106,All,2019,1,top,transaction,pincodes,india,2019-Q1,1287.8643984547784,-0.3688299118176209
500012,9957548,15399177052.931396,All,2019,1,top,transaction,pincodes,india,2019-Q1,1546.4828342209746,-0.02863121897390397
600003,8217185,12799152324.27052,All,2019,1,top,transaction,pincodes,india,2019-Q1,1557.6079063901468,-0.17477826870631208
110011,6689740,9632804730.117004,All,2019,1,top,transaction,pincodes,india,2019-Q1,1439.937087258549,-0.1858842170402638
400008,6494529,10238553958.763014,All,2019,1,top,transaction,pincodes,india,2019-Q1,1576.4890662222024,-0.029180655750447704
700009,6353573,7885002278.529919,All,2019,1,top,transaction,pincodes,india,2019-Q1,1241.0343406032982,-0.021703806388423286
411006,5641935,9202990658.018358,All,2019,1,top,transaction,pincodes,india,2019-Q1,1631.1762999783512,-0.11200595318571138
302001,4954219,7600396570.221162,All,2019,1,top,transaction,pincodes,india,2019-Q1,1534.1260792510711,-0.1218936411000836
201301,4596696,4223121104.413077,All,2019,1,top,transaction,pincodes,india,2019-Q1,918.729692895305,-0.07216536047356803
karnataka,115401604,163702024226.0841,All,2019,2,top,transaction,states,india,2019-Q2,1418.5420180648798,24.10533739886214
maharashtra,101149853,153294470088.05945,All,2019,2,top,transaction,states,india,2019-Q2,1515.5184663299456,-0.12349699229483846
telangana,89610379,155676443182.43457,All,2019,2,top,transaction,states,india,2019-Q2,1737.259064404075,-0.11408295373400101
uttar pradesh,58883500,98917519370.67831,All,2019,2,top,transaction,states,india,2019-Q2,1679.8851863540433,-0.34289419755718253
delhi,57171512,81706816063.62862,All,2019,2,top,transaction,states,india,2019-Q2,1429.1526182415573,-0.029074154899080384
